"ccode","year","AGC","AIOEC","AMCO","AMSC","AOMR","APCC","ASCRubber","ATO","ATPC","AVRDC","AfrOPDA","CACB","CCPA","ECSC","GLACSEC","IAFC","IATTC","IBA","ICAC","ICCEC","ICCO","ICSG","ICfO","IGC","IJO","ILZSG","INRO","INSG","IOOC","IPC","IRC","IRSG","ISuC","ITC","ITPA","ITTO","IVWO","IWSG","Iocean","JNOLCRH","NASCO","NCRR","NPFSC","SAMI","UBEC","UKDWD","WARDA"
615,1983,0,1,0,-1,-9,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,-1,1,0,-1,1,-9,0,0,-1,0,0,-1,1,-9,-1,0,0,0,0,-9,0,-1,0
615,1984,0,1,0,-1,-9,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,0,1,0,-1,1,0,0,0,-1,0,0,-1,1,0,-1,0,0,0,0,-9,0,-1,0
615,1985,0,1,0,-1,-9,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,0,1,0,-1,1,0,0,0,-1,0,-1,-1,1,0,-1,0,0,0,0,-9,0,-1,0
615,1986,0,1,0,-1,-9,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,0,1,0,-1,1,0,0,0,-1,0,-1,-1,1,0,-1,0,0,0,0,-9,0,-1,0
615,1987,0,1,0,-1,-9,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,0,1,0,-1,1,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,-9,0,-1,0
615,1988,0,1,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,0,1,0,-1,1,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,-9,0,-1,0
615,1989,0,1,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,0,0,0,-1,1,0,0,0,-1,0,-1,0,1,0,0,0,0,0,-1,-9,0,-1,0
615,1990,0,1,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,0,1,0,0,0,0,0,-1,-9,0,-1,0
615,1991,-1,1,0,-1,0,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,1,-1,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,0,1,0,0,0,0,0,-1,-9,0,-1,0
615,1992,-1,1,0,-1,-1,0,0,0,0,0,-9,-1,0,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,0,1,0,0,0,0,0,-1,-9,0,-1,0
615,1993,-1,1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,0,1,-1,0,0,0,-1,-1,0,0,-1,0
615,1994,-1,1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,-1,-1,-1,0,1,-1,0,0,0,-1,-1,0,0,-1,0
615,1995,-1,1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,0,1,-1,0,0,0,-1,-1,0,0,-1,0
615,1996,-1,1,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,0,1,-1,0,0,0,-1,-1,0,0,-1,0
