stateabb,ccode,year,irst,milex,milper,energy,tpop,upop,cinc,version
USA,2,1931,26363,698900,253,709367,124149,36360,0.2160157,3.02
USA,2,1932,13901,641600,245,612400,124949,36424,0.197177,3.02
USA,2,1933,23605,570400,244,649968,125690,36518,0.2051403,3.02
USA,2,1934,26474,803100,247,689998,126485,36644,0.1974428,3.02
USA,2,1935,34640,806400,252,721900,127362,36843,0.1932461,3.02
USA,2,1936,48534,932600,291,825460,128181,36995,0.2059848,3.02
USA,2,1937,51380,1032900,312,869666,128961,37229,0.2008996,3.02
USA,2,1938,28805,1131499,323,751346,129969,37463,0.1707712,3.02
USA,2,1939,47898,980000,334,829091,131028,37772,0.1819711,3.02
USA,2,1940,60765,1657000,458,939812,132122,37988,0.2019071,3.02
USA,2,1941,75150,6301000,1801,1031214,133402,38183,0.2444945,3.02
USA,2,1942,78047,26001000,3859,1103469,134860,38377,0.2854552,3.02
USA,2,1943,80592,72109000,9045,1169553,136739,38554,0.3456322,3.02
USA,2,1944,81322,87000000,11452,1247643,138397,38898,0.3506417,3.02
USA,2,1945,72304,90000000,12123,1219068,139928,39100,0.3838635,3.02
USA,2,1946,60421,45133984,3030,1188144,141389,39725,0.3639884,3.02
USA,2,1947,77015,14315999,1583,1315777,144126,40857,0.3099419,3.02
USA,2,1948,80413,10960998,1446,1396394,147208,42019,0.2946597,3.02
USA,2,1949,70740,13503000,1615,1199344,149767,43216,0.2731664,3.02
USA,2,1950,87848,14559000,1460,1241836,152271,43964,0.284443,3.02
USA,2,1951,95435,33398000,3249,1325948,154878,44711,0.3194995,3.02
USA,2,1952,84520,47852000,3636,1309824,157553,45123,0.3113685,3.02
USA,2,1953,101250,49621008,3555,1347597,160184,46581,0.3111598,3.02
USA,2,1954,80115,42786000,3302,1302449,163026,47007,0.2809415,3.02
USA,2,1955,106173,40518000,2935,1415958,165931,47688,0.2664232,3.02
USA,2,1956,104522,41773008,2806,1492506,168903,48389,0.2606691,3.02
USA,2,1957,102253,44548000,2796,1494767,171984,49087,0.2551495,3.02
USA,2,1958,77342,45503008,2411,1437859,174882,49733,0.2346015,3.02
USA,2,1959,84773,46614000,2328,1513627,177830,50320,0.2291196,3.02
USA,2,1960,90067,45380000,2306,1421218,180671,50966,0.2156119,3.02
USA,2,1961,88917,47808000,2307,1447002,183691,50941,0.2108264,3.02
USA,2,1962,89202,52381008,2807,1508570,186538,50916,0.2100839,3.02
USA,2,1963,99120,52295008,2700,1589655,189242,50891,0.208139,3.02
USA,2,1964,115281,51213008,2687,1610682,191889,50866,0.2031602,3.02
USA,2,1965,119260,51827008,2660,1700357,194303,50841,0.201718,3.02
USA,2,1966,121655,67572000,3090,1784048,196560,50815,0.2088467,3.02
USA,2,1967,115406,75448000,3380,1903194,198712,50790,0.2087243,3.02
USA,2,1968,119262,80732000,3550,1985402,200706,50765,0.2040128,3.02
USA,2,1969,128152,81446000,3460,2034492,202677,53117,0.1976692,3.02
USA,2,1970,119309,77827008,3070,2200786,205052,55468,0.181797,3.02
USA,2,1971,109265,74862000,2720,2210656,207661,55560,0.1707217,3.02
USA,2,1972,120875,77639000,2323,2268526,209896,55652,0.1650065,3.02
USA,2,1973,136804,78385000,2206,2343709,211909,55743,0.1591247,3.02
USA,2,1974,132196,85906000,2146,2279947,213854,55736,0.1530192,3.02
USA,2,1975,105897,90948000,2098,2208506,215973,55728,0.1441825,3.02
USA,2,1976,116121,91013000,2075,2330049,218035,55721,0.1424521,3.02
USA,2,1977,113701,100925000,2060,2408830,220239,55713,0.141818,3.02
USA,2,1978,124314,109247000,2060,2446498,222585,56208,0.1401904,3.02
USA,2,1979,123688,122279000,2033,2503785,225055,56702,0.1378502,3.02
